algorithm,scan,signal,op_channel,nic_channel,ssid,bssid,vendor,delayj,delayk,frame_type,kernel_time,jiffies,prequest
10,1,-73,-2,6,,00:19:70:78:83:26,NA,6,0.00661599999966711,presponse,4583.218698,4283219,69
10,2,-74,-2,6,,d0:ae:ec:1a:1c:c7,NA,5,0.00584999999955471,presponse,4628.054972,4328055,46
10,4,-75,6,6,Jean-Michel Apeupres,5c:33:8e:cd:77:a5,NA,3,0.0033979999998337,presponse,4764.962492,4464963,29
10,6,-79,6,6,NUMERICABLE-C303,00:1a:2b:80:35:82,NA,3,0.00373000000035972,presponse,4843.223842,4543224,45
10,7,-71,6,6,Livebox-2598,5c:33:8e:cf:b6:0e,NA,4,0.00464300000021467,presponse,4882.387716,4582388,53
10,7,-74,6,6,orange,52:33:8e:cf:b6:0e,NA,6,0.00666000000001077,presponse,4882.389733,4582390,53
10,7,-76,-2,6,,5c:33:8e:53:0b:ff,NA,11,0.0119249999997919,presponse,4882.394998,4582395,53
10,8,-72,6,6,NUMERICABLE-B8D8,c4:17:fe:b5:38:a5,NA,2,0.00236300000051415,presponse,4922.557442,4622558,52
10,8,-69,-2,6,,5c:33:8e:ea:44:25,NA,8,0.00805099999979575,presponse,4922.56313,4622564,52
10,10,-71,-2,1,,f4:ca:e5:f5:e8:82,NA,15,0.0157810000000609,presponse,5003.789845,4703790,49
10,10,-72,-2,1,,f4:ca:e5:f5:e8:80,NA,19,0.0192729999998846,presponse,5003.793337,4703794,49
10,10,-69,-2,1,,f4:ca:e5:f5:e8:80,NA,21,0.0214180000002671,presponse,5003.795482,4703796,49
10,11,-70,6,6,reseaujegu,00:1a:2b:3b:cc:69,NA,2,0.00264699999934237,presponse,5044.187741,4744188,17
10,11,-71,6,6,NUMERICABLE-2013,24:ec:99:da:15:3b,NA,6,0.00638600000002043,presponse,5044.19148,4744192,17
10,11,-75,-2,6,,00:19:70:78:b2:05,NA,10,0.0102139999999054,presponse,5044.195308,4744196,17
10,12,-76,-2,6,,d0:ae:ec:6e:19:64,NA,8,0.00799400000050809,presponse,5083.632083,4783633,61
10,14,-81,6,6,freebox_BLBAEV,e6:65:b2:d8:f5:b4,NA,3,0.00334999999995489,presponse,5162.201439,4862202,66
10,18,-76,-2,6,,30:7e:cb:91:96:14,NA,8,0.00813100000050326,presponse,5317.901221,5017902,33
